,Reagent,ReagentID,NumberOfSucessfullReactions,NumberOfAllReactions
0,Iron(II) tetrafluoroborate hexahydrate,,21,73
1,Zinc tetrafluoroborate,,23,73
2,Yittrium(III) trifluoromethanesulfonate,,9,62
3,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,,47,62
4,Silver tetrafluoroborate,,70,129
5,"2,2'-(Ethane-1,2-diyl)dianiline",20.0,25,49
6,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",19.0,18,49
7,"2,2'-Oxydiethanamine",22.0,26,50
8,"4,4'-Methylenedianiline",17.0,31,55
9,m-Xylylenediamine,18.0,22,46
10,"Adamantane-1,3-diamine",16.0,0,0
11,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",13.0,23,50
12,"Naphthalene-1,8-diamine",21.0,0,47
13,"4,4'-Oxydianiline",15.0,25,53
14,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",14.0,0,0
15,6-Methylpyridine-2-carboxaldehyde,8.0,26,53
16,6-Phenylpicolinaldehyde,2.0,0,0
17,"[2,2'-Bipyridine]-6-carbaldehyde",9.0,0,0
18,2-Quinolinecarboxaldehyde,4.0,8,48
19,5-Methylpicolinaldehyde,3.0,24,48
20,8-methoxyquinoline-2-carbaldehyde,7.0,8,28
21,"[1,8]Naphthyridine-2-carbaldehyde",11.0,0,0
22,4-Formyl-2-methylthiazole,1.0,27,46
23,6-Methoxypyridine-2-carbaldehyde,6.0,23,43
24,1-Methyl-2-imidazolecarboxaldehyde,12.0,16,42
25,1-Methyl-1H-benzimidazole-2-carbaldehyde,5.0,24,45
26,"4-Methyl-1,3-thiazole-2-carbaldehyde",10.0,14,46
