Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN_initial,CCl2H2_initial,CH3CN_final
1,Iron(II) tetrafluoroborate hexahydrate,0.00276791,0.00276791,273.3333333,0,1776.666667
2,Zinc tetrafluoroborate,0.0019598,0.0019598,273.3333333,0,1776.666667
3,Yittrium(III) trifluoromethanesulfonate,0.004396102,0.004396102,273.3333333,0,1776.666667
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.002579392,0.002579392,273.3333333,0,1776.666667
5,Silver tetrafluoroborate,0.001596294,0.001596294,273.3333333,0,1776.666667
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0,0,0,0,0
7,"Pyridine-2,6-dicarbaldehyde",0,0,0,0,0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.002611253,0.002611253,273.3333333,0,1776.666588
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.001822983,0.001822983,68.33333333,205,1776.666667
10,"2,2'-Oxydiethanamine",0.001281045,0.001281045,273.3333333,0,1776.666667
11,"4,4'-Methylenedianiline",0.002438598,0.002438598,273.3333333,0,1776.666667
12,",3-Benzenedimethanamine",0.001675137,0.001675137,273.3333333,0,1776.666667
13,"Adamantane-1,3-diamine",0.002045121,0.002045121,0,273.3333333,1776.666667
14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.004285812,0.004285812,273.3333333,0,1776.666667
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0,0,0,0,0
16,"[2,2'-Bipyridine]-4,4'-diamine",0,0,0,0,0
17,"Naphthalene-1,8-diamine",0.00194586,0.00194586,273.3333333,0,1776.666667
18,"4,4'-Oxydianiline",0.002462952,0.002462952,273.3333333,0,1776.666667
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0,0,0,0,0
20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.003497505,0.003497505,0,273.3333333,1776.666667
21,6-Methylpyridine-2-carboxaldehyde,0.002980044,0.002980044,273.3333333,0,1776.666667
22,6-Phenylpicolinaldehyde,0.004506966,0.004506966,273.3333333,0,1776.666667
23,"[2,2'-Bipyridine]-6-carbaldehyde",0.004531074,0.004531074,273.3333333,0,1776.666667
24,2-Quinolinecarboxaldehyde,0.003866382,0.003866382,0,273.3333333,1776.666667
25,5-Methylpicolinaldehyde,0.002980044,0.002980044,273.3333333,0,1776.666667
26,8-methoxyquinoline-2-carbaldehyde,0.004604874,0.004604874,273.3333333,0,1776.666667
27,"[1,8]Naphthyridine-2-carbaldehyde",0.003890736,0.003890736,182.2222222,91.11111111,1776.666667
28,4-Formyl-2-methylthiazole,0.003128136,0.003128136,273.3333333,0,1776.666667
29,6-Methoxypyridine-2-carbaldehyde,0.003373644,0.003373644,273.3333333,0,1776.666667
30,1-Methyl-2-imidazolecarboxaldehyde,0.002708706,0.002708706,273.3333333,0,1776.666667
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.003940354,0.003940354,273.3333333,0,1776.666563
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.003128136,0.003128136,273.3333333,0,1776.666667
