INDEX,FILE_NAME,FILE_TEXT,MS_FILE,MS_TUNE_FILE,INLET_FILE,SAMPLE_LOCATION,INJ_VOL
1,23batch3,23batch3,SupraChemCage,SupraChemCage,SupraChemCage,1:1,1
2,142,142,SupraChemCage,SupraChemCage,SupraChemCage,1:2,1
3,143,143,SupraChemCage,SupraChemCage,SupraChemCage,1:3,1
4,144,144,SupraChemCage,SupraChemCage,SupraChemCage,1:4,1
5,145,145,SupraChemCage,SupraChemCage,SupraChemCage,1:5,1
6,146,146,SupraChemCage,SupraChemCage,SupraChemCage,1:6,1
7,147,147,SupraChemCage,SupraChemCage,SupraChemCage,1:7,1
8,148,148,SupraChemCage,SupraChemCage,SupraChemCage,1:8,1
9,149,149,SupraChemCage,SupraChemCage,SupraChemCage,1:9,1
10,150,150,SupraChemCage,SupraChemCage,SupraChemCage,1:10,1
11,151,151,SupraChemCage,SupraChemCage,SupraChemCage,1:11,1
12,152,152,SupraChemCage,SupraChemCage,SupraChemCage,1:12,1
13,153,153,SupraChemCage,SupraChemCage,SupraChemCage,1:13,1
14,154,154,SupraChemCage,SupraChemCage,SupraChemCage,1:14,1
15,155,155,SupraChemCage,SupraChemCage,SupraChemCage,1:15,1
16,156,156,SupraChemCage,SupraChemCage,SupraChemCage,1:16,1
17,157,157,SupraChemCage,SupraChemCage,SupraChemCage,1:17,1
18,158,158,SupraChemCage,SupraChemCage,SupraChemCage,1:18,1
19,159,159,SupraChemCage,SupraChemCage,SupraChemCage,1:19,1
20,160,160,SupraChemCage,SupraChemCage,SupraChemCage,1:20,1
21,161,161,SupraChemCage,SupraChemCage,SupraChemCage,1:21,1
22,162,162,SupraChemCage,SupraChemCage,SupraChemCage,1:22,1
23,163,163,SupraChemCage,SupraChemCage,SupraChemCage,1:23,1
24,164,164,SupraChemCage,SupraChemCage,SupraChemCage,1:24,1
25,165,165,SupraChemCage,SupraChemCage,SupraChemCage,1:25,1
26,166,166,SupraChemCage,SupraChemCage,SupraChemCage,1:26,1
27,167,167,SupraChemCage,SupraChemCage,SupraChemCage,1:27,1
28,168,168,SupraChemCage,SupraChemCage,SupraChemCage,1:28,1
29,169,169,SupraChemCage,SupraChemCage,SupraChemCage,1:29,1
30,170,170,SupraChemCage,SupraChemCage,SupraChemCage,1:30,1
31,171,171,SupraChemCage,SupraChemCage,SupraChemCage,1:31,1
32,172,172,SupraChemCage,SupraChemCage,SupraChemCage,1:32,1
33,173,173,SupraChemCage,SupraChemCage,SupraChemCage,1:33,1
34,174,174,SupraChemCage,SupraChemCage,SupraChemCage,1:34,1
35,175,175,SupraChemCage,SupraChemCage,SupraChemCage,1:35,1
36,176,176,SupraChemCage,SupraChemCage,SupraChemCage,1:36,1
37,177,177,SupraChemCage,SupraChemCage,SupraChemCage,1:37,1
38,178,178,SupraChemCage,SupraChemCage,SupraChemCage,1:38,1
39,179,179,SupraChemCage,SupraChemCage,SupraChemCage,1:39,1
40,180,180,SupraChemCage,SupraChemCage,SupraChemCage,1:40,1
41,181,181,SupraChemCage,SupraChemCage,SupraChemCage,1:41,1
42,182,182,SupraChemCage,SupraChemCage,SupraChemCage,1:42,1
43,183,183,SupraChemCage,SupraChemCage,SupraChemCage,1:43,1
44,184,184,SupraChemCage,SupraChemCage,SupraChemCage,1:44,1
45,185,185,SupraChemCage,SupraChemCage,SupraChemCage,1:45,1
46,186,186,SupraChemCage,SupraChemCage,SupraChemCage,1:46,1
47,187,187,SupraChemCage,SupraChemCage,SupraChemCage,1:47,1
48,188,188,SupraChemCage,SupraChemCage,SupraChemCage,1:48,1
