Chemical_index,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
1,Iron(II) tetrafluoroborate hexahydrate,0.0384807,0.0785,6058.361724,0
2,Zinc tetrafluoroborate,0.03107,0.0844,7050.209205,0
3,Yittrium(III) trifluoromethanesulfonate,0,0,0,0
4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0,0,0,0
5,Silver tetrafluoroborate,0,0,0,0
6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0,0,0,0
7,"Pyridine-2,6-dicarbaldehyde",0,0,0,0
8,"2,2'-(Ethane-1,2-diyl)dianiline",0.012100929,0.0215,1931.256683,0
9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.01289427,0.0176,1118.907856,3356.723568
10,"2,2'-Oxydiethanamine",0,0,0,0
11,"4,4'-Methylenedianiline",0.01843818,0.0253,3312.14903,0
12,"1,3-Benzenedimethanamine",0.01021425,0.0228,4601.41469,0
13,"Adamantane-1,3-diamine",0,0,0,0
14,"4,4'-(9H-Fluorene-9,9-diyl)dianiline",0.02822364,0.0328,2860.368117,0
15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0,0,0,0
16,"[2,2'-Bipyridine]-4,4'-diamine",0,0,0,0
17,"Naphthalene-1,8-diamine",0.0128142,0.0248,3223.767383,0
18,"4,4'-Oxydianiline",0.01742088,0.0246,3379.278199,0
19,"6-Methyl-1,3,5-triazine-2,4-diamine",0,0,0,0
20,"(R)-(+)-1,1′-Binaphthyl-2,2′-diamine",0,0,0,0
21,6-Methylpyridine-2-carboxaldehyde,0.03125412,0.0489,5104.287051,0
22,6-Phenylpicolinaldehyde,0,0,0,0
23,"[2,2'-Bipyridine]-6-carbaldehyde",0,0,0,0
24,2-Quinolinecarboxaldehyde,0,0,0,0
25,5-Methylpicolinaldehyde,0.02689308,0.0285,3893.566672,0
26,8-methoxyquinoline-2-carbaldehyde,0,0,0,0
27,"[1,8]Naphthyridine-2-carbaldehyde",0,0,0,0
28,4-Formyl-2-methylthiazole,0,0,0,0
29,6-Methoxypyridine-2-carbaldehyde,0.03209076,0.0591,4703.222984,0
30,1-Methyl-2-imidazolecarboxaldehyde,0.01915914,0.0241,3027.275755,0
31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0,0,0,0
32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0,0,0,0
